,Constituency,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
16,CHADOORA,ALI MOHAMMAD DAR,Jammu & Kashmir National Conference,MOHMAD YASEEN BHAT,Jammu & Kashmir Peoples Democratic Party,17218
17,CHANNAPORA,MUSHTAQ GUROO,Jammu & Kashmir National Conference,SYED MOHAMMAD ALTAF BUKHARI,Jammu and Kashmir Apni Party,5688
18,CHENANI,BALWANT SINGH MANKOTIA,Bharatiya Janata Party,HARSH DEV SINGH,J&K National Panthers Party (India),15611
19,CHHAMB,SATISH SHARMA,Independent,RAJEEV SHARMA,Bharatiya Janata Party,6929
20,CHRAR-i- SHARIEF,ADVOCATE ABDUL RAHIM RATHER,Jammu & Kashmir National Conference,GHULAM NABI LONE,Jammu & Kashmir Peoples Democratic Party,11496
21,D. H. PORA,SAKEENA MASOOD,Jammu & Kashmir National Conference,GULZAR AHMAD DAR,Jammu & Kashmir Peoples Democratic Party,17449
22,DEVSAR,PEERZADA FEROZE AHAMAD,Jammu & Kashmir National Conference,MOHAMMAD SARTAJ MADNI,Jammu & Kashmir Peoples Democratic Party,840
23,DODA,MEHRAJ MALIK,Aam Aadmi Party,GAJAY SINGH RANA,Bharatiya Janata Party,4538
24,DODA WEST,SHAKTI RAJ PARIHAR,Bharatiya Janata Party,PARDEEP KUMAR,Indian National Congress,3453
25,DOORU,GULAM AHMAD MIR,Indian National Congress,MOHAMMAD ASHRAF MALIK,Jammu & Kashmir Peoples Democratic Party,29728
26,EIDGAH,MUBARIK GUL,Jammu & Kashmir National Conference,GHULAM NABI BHAT,Independent,1680
27,GANDERBAL,OMAR ABDULLAH,Jammu & Kashmir National Conference,BASHIR AHMAD MIR,Jammu & Kashmir Peoples Democratic Party,10574
28,GULABGARH(ST),KHURSHIED AHMED,Jammu & Kashmir National Conference,AIJAZ AHMAD KHAN,Independent,6527
29,GULMARG,PIRZADA FAROOQ AHMED SHAH,Jammu & Kashmir National Conference,GHULAM HASSAN MIR,Jammu and Kashmir Apni Party,4191
30,GUREZ(ST),NAZIR AHMAD KHAN,Jammu & Kashmir National Conference,FAQEER MOHAMMAD KHAN,Bharatiya Janata Party,1132
31,HABBAKADAL,SHAMIM FIRDOUS,Jammu & Kashmir National Conference,ASHOK KUMAR BHAT,Bharatiya Janata Party,9538
32,HANDWARA,SAJAD GANI LONE,Jammu & Kashmir People Conference,CHOWDRY MOHAMMAD RAMZAN,Jammu & Kashmir National Conference,662
33,HAZRATBAL,SALMAN SAGAR,Jammu & Kashmir National Conference,ASIEA NAQASH,Jammu & Kashmir Peoples Democratic Party,10295
34,HIRANAGAR,VIJAY KUMAR,Bharatiya Janata Party,RAKESH KUMAR,Indian National Congress,8610
35,INDERWAL,PAYARE LAL SHARMA,Independent,GHULAM MOHD SAROORI,Independent,643
36,JAMMU EAST,YUDHVIR SETHI,Bharatiya Janata Party,YOGESH SAWHNEY,Indian National Congress,18114
37,JAMMU NORTH,SHAM LAL SHARMA,Bharatiya Janata Party,AJAY KUMAR SADHOTRA,Jammu & Kashmir National Conference,27363
38,JAMMU WEST,ARVIND GUPTA,Bharatiya Janata Party,MANMOHAN SINGH,Indian National Congress,22127
39,JASROTA,RAJIV JASROTIA,Bharatiya Janata Party,BRIJESHWAR SINGH,Independent,12420
40,KALAKOTE - SUNDERBANI,RANDHIR SINGH,Bharatiya Janata Party,YASHU VARDHAN SINGH,Jammu & Kashmir National Conference,14409
